age,gender,region_category,membership_category,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn
43,M,City,No Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,108.3,21725.57,21.0,No,Yes,No,Not Applicable,Poor Website,1
29,F,Town,Silver Membership,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,18,300.38,12069.06,7.0,No,Yes,No,Not Applicable,Too many ads,0
20,F,Village,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,22,272.31,42743.44,12.0,Yes,No,No,Not Applicable,Poor Product Quality,1
60,M,City,Gold Membership,Yes,CID45046,Gift Vouchers/Coupons,Both,Fiber_Optic,11,537.25,1773.49,6.0,Yes,Yes,No,Not Applicable,Poor Product Quality,0
12,M,City,Premium Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,8,198.26,26105.24,7.0,Yes,No,No,Not Applicable,Poor Customer Service,0
52,M,Town,Silver Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,9,119.47,10101.48,28.0,Yes,No,No,Not Applicable,Poor Website,1
30,M,City,Basic Membership,Yes,CID37735,Gift Vouchers/Coupons,Smartphone,Mobile_Data,15,68.19,21111.9,23.0,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
26,F,Town,No Membership,Yes,CID26444,Without Offers,Desktop,Wi-Fi,20,194.85,5912.06,13.0,Yes,No,No,Not Applicable,Too many ads,1
49,F,Village,Platinum Membership,Yes,CID18445,Credit/Debit Card Offers,Both,Fiber_Optic,8,706.36,19062.25,Error,Yes,No,No,Not Applicable,Poor Product Quality,0
17,M,City,Platinum Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,6,348.07,94100.72,4.0,Yes,Yes,No,Not Applicable,User Friendly Website,0
58,F,Village,Gold Membership,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,11,30.78,48080.03,10.0,Yes,No,No,Not Applicable,Poor Product Quality,0
41,M,Town,Platinum Membership,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,13,282.87,27528.03,27.0,Yes,No,No,Not Applicable,Poor Website,0
38,M,Town,Gold Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,8,324.75,28535.13,27.0,Yes,Yes,Yes,Solved,Poor Customer Service,0
20,M,City,Silver Membership,Yes,CID23945,Without Offers,Desktop,Fiber_Optic,16,237.39,25000.09,16.0,No,Yes,No,Not Applicable,Poor Website,1
35,F,Village,Gold Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,148.24,30984.56,11.0,Yes,No,No,Not Applicable,Poor Customer Service,0
43,M,Town,Premium Membership,Yes,xxxxxxxx,Without Offers,Both,Wi-Fi,16,773.83,9091.94,20.0,No,Yes,No,Not Applicable,Poor Product Quality,0
35,M,Town,Premium Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12,34.48,48679.07,6.0,Yes,No,No,Not Applicable,Poor Product Quality,0
35,M,Town,No Membership,Yes,CID23426,Without Offers,Smartphone,Mobile_Data,4,157.03,22975.33,18.0,No,Yes,No,Not Applicable,Poor Website,1
55,F,Town,Premium Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,18,42.77,8996.95,Error,Yes,No,Yes,Unsolved,Poor Website,0
39,M,City,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,13,98.57,2645.63,23.0,No,Yes,No,Not Applicable,Poor Product Quality,1
57,M,Town,No Membership,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,13,119.1,44341.82,Error,Yes,No,Yes,No Information Available,Poor Customer Service,1
50,M,Town,Gold Membership,Yes,CID60579,Credit/Debit Card Offers,Desktop,Wi-Fi,19,65.39,17054.69,21.0,No,Yes,Yes,Solved,No reason specified,0
53,F,City,Premium Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,18,172.99,9044.15,8.0,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
62,F,City,No Membership,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,5,304.52,47658.52,29.0,No,Yes,Yes,Solved,Too many ads,1
30,M,City,Silver Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12,191.41,25575.44,Error,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
25,F,Village,Gold Membership,Yes,CID4642,Without Offers,Smartphone,Mobile_Data,11,31.88,35414.54,20.0,No,Yes,No,Not Applicable,No reason specified,0
24,F,Town,Premium Membership,Yes,CID40499,Without Offers,Desktop,Fiber_Optic,5,181.34,43554.96,1.0,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
56,M,Village,Basic Membership,Yes,CID11447,Credit/Debit Card Offers,Desktop,Wi-Fi,24,48.59,28071.04,16.0,No,Yes,Yes,Solved,Poor Website,1
23,F,Town,Gold Membership,Yes,CID3210,Without Offers,Desktop,Wi-Fi,21,727.69,4919.72,13.0,Yes,Yes,No,Not Applicable,Too many ads,0
42,F,City,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,3,419.51,14661.42,Error,No,Yes,Yes,Solved in Follow-up,No reason specified,1
18,M,Town,Basic Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,11,293.42,2521.3,Error,Yes,No,Yes,No Information Available,Poor Customer Service,1
23,M,City,Gold Membership,Yes,CID44094,Credit/Debit Card Offers,Desktop,Wi-Fi,10,934.354219849904,11955.94,24.0,No,Yes,Yes,Unsolved,Poor Customer Service,1
52,F,City,Basic Membership,Yes,CID60201,Credit/Debit Card Offers,Smartphone,Mobile_Data,4,826.51,14877.24,25.0,Yes,No,No,Not Applicable,Poor Customer Service,1
49,F,Town,Premium Membership,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,21,115.41,41156.81,27.0,No,Yes,No,Not Applicable,Poor Customer Service,0
31,F,Town,Basic Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,148.95,2364.45,Error,No,Yes,No,Not Applicable,Too many ads,1
27,M,City,Silver Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,21,357.45,29825.45,9.0,No,Yes,Yes,Solved,Poor Website,1
56,M,City,Gold Membership,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,21,1386.2328573111793,9454.17,19.0,Yes,No,No,Not Applicable,Too many ads,0
31,F,Town,Silver Membership,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,10,428.05,6325.08,28.0,No,Yes,No,Not Applicable,Poor Product Quality,1
29,M,Town,Premium Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,42.48,16098.94,21.0,Yes,No,Yes,Solved,Poor Website,0
31,F,City,Silver Membership,Yes,CID42557,Without Offers,Smartphone,Wi-Fi,24,33.91,23226.43,7.0,No,Yes,Yes,Solved,Poor Customer Service,0
11,F,Town,Basic Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,8,1060.5279791549135,10990.31,16.0,Yes,No,No,Not Applicable,Poor Product Quality,1
26,M,City,Silver Membership,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,7,187.91,17002.23,11.0,No,Yes,No,Not Applicable,Too many ads,0
42,M,City,Platinum Membership,Yes,CID36216,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,1195.7326664672294,31504.62,10.0,Yes,No,No,Not Applicable,Poor Customer Service,0
46,M,Village,No Membership,Yes,CID31973,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21,287.39,44809.68,27.0,No,Yes,No,Not Applicable,Poor Product Quality,1
35,M,City,Gold Membership,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,17,219.13,70247.76,3.0,Yes,Yes,No,Not Applicable,User Friendly Website,0
57,M,Town,No Membership,Yes,CID33756,Credit/Debit Card Offers,Smartphone,Wi-Fi,8,400.35,30248.45,9.0,No,Yes,Yes,Unsolved,Poor Customer Service,1
64,M,Town,No Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,20,49.24,39981.97,12.0,Yes,No,Yes,Solved,Too many ads,1
21,M,Town,Basic Membership,Yes,CID47291,Credit/Debit Card Offers,Smartphone,Mobile_Data,16,590.85,21919.13,14.0,Yes,No,Yes,Solved,Poor Product Quality,1
53,F,Town,Gold Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,22,1142.148835374673,34918.7,6.0,Yes,No,Yes,Solved in Follow-up,Poor Website,1
26,M,Village,No Membership,Yes,CID37189,Credit/Debit Card Offers,Desktop,Mobile_Data,16,138.33,8025.77,29.0,Yes,No,No,Not Applicable,Poor Customer Service,1
61,M,Town,Gold Membership,Yes,CID22912,Credit/Debit Card Offers,Smartphone,Mobile_Data,7,516.46,45544.33,29.0,No,Yes,Yes,Unsolved,Too many ads,0
30,M,Town,No Membership,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,19,211.19,2554.48,10.0,Yes,Yes,Yes,Solved,Poor Website,1
35,F,City,Gold Membership,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,10,267.45,32922.76,8.0,No,Yes,No,Not Applicable,No reason specified,1
53,M,City,Gold Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,19,213.34,8860.9,6.0,Yes,No,Yes,Solved,Poor Website,1
23,M,City,Basic Membership,Yes,CID59483,Credit/Debit Card Offers,Smartphone,Wi-Fi,13,1044.243493684985,26060.01,22.0,Yes,No,Yes,Solved,Poor Website,1
37,M,Village,Silver Membership,Yes,CID62069,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11,172.07,23587.32,28.0,Yes,No,No,Not Applicable,Poor Website,1
59,F,City,Basic Membership,No,xxxxxxxx,Without Offers,Both,Wi-Fi,8,400.21,33996.1,38.47159929450214,Yes,Yes,No,Not Applicable,Poor Product Quality,1
50,F,Town,Gold Membership,Yes,CID34703,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,103.36,39610.89,10.0,Yes,No,Yes,Solved,Poor Customer Service,1
29,F,Village,Premium Membership,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19,222.69,18297.21,2.0,No,Yes,Yes,No Information Available,Products always in Stock,0
39,F,City,Silver Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16,283.85,3888.65,18.0,Yes,No,No,Not Applicable,Products always in Stock,0
37,F,Town,Gold Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,5,32.29,63097.55,-12.714310534412167,No,Yes,No,Not Applicable,User Friendly Website,0
21,M,Town,Silver Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,145.45,48500.63,11.0,No,Yes,Yes,Solved,Poor Customer Service,0
64,F,Town,Basic Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,10,313.84,23211.35,15.0,Yes,No,No,Not Applicable,Poor Product Quality,1
37,F,Town,Basic Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,206.56,13037.39,13.0,Yes,No,Yes,Solved in Follow-up,Too many ads,1
55,M,Town,Basic Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21,51.75,27564.76,24.0,No,Yes,No,Not Applicable,Too many ads,1
18,M,City,Basic Membership,Yes,CID15710,Without Offers,Smartphone,Fiber_Optic,10,117.9,49537.82,7.0,Yes,No,Yes,Solved,Poor Product Quality,1
48,F,City,Basic Membership,Yes,CID3745,Credit/Debit Card Offers,Desktop,Mobile_Data,15,77.18,49448.05,5.0,No,Yes,Yes,No Information Available,Poor Product Quality,1
54,M,Town,Basic Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,8,60.77,45095.33,1.234738898757417,Yes,No,No,Not Applicable,Poor Product Quality,1
52,F,Village,Gold Membership,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,15,197.85,42084.72,18.0,No,Yes,No,Not Applicable,Poor Customer Service,0
33,F,Town,Platinum Membership,Yes,CID25657,Without Offers,Both,Mobile_Data,11,502.4,4714.82,24.0,Yes,No,No,Not Applicable,Poor Website,0
35,M,Town,No Membership,Yes,CID3266,Credit/Debit Card Offers,Smartphone,Fiber_Optic,6,33.96,6175.77,22.0,Yes,No,No,Not Applicable,Poor Product Quality,1
39,F,City,Gold Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,9,34.93,42965.53,29.0,No,Yes,Yes,Solved,Poor Product Quality,1
29,M,City,Premium Membership,Yes,CID38291,Gift Vouchers/Coupons,Desktop,Wi-Fi,11,317.25,17951.87,17.0,No,Yes,No,Not Applicable,Poor Customer Service,0
14,F,City,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10,33.34,46392.24,24.0,Yes,No,No,Not Applicable,Poor Customer Service,1
13,F,Village,Premium Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,5,84.05,10423.83,29.0,No,Yes,Yes,No Information Available,No reason specified,0
56,F,Town,No Membership,Yes,CID11953,Without Offers,Desktop,Wi-Fi,19,69.22,14117.54,12.0,No,Yes,Yes,Solved in Follow-up,Poor Website,1
64,F,City,Silver Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,32.16,67458.29,-13.646849550496079,Yes,No,Yes,Solved in Follow-up,User Friendly Website,0
47,M,Town,No Membership,Yes,CID28985,Gift Vouchers/Coupons,Both,Wi-Fi,20,692.73,18404.11,19.0,Yes,No,Yes,No Information Available,Poor Website,1
45,M,Town,Premium Membership,Yes,CID8218,Credit/Debit Card Offers,Smartphone,Mobile_Data,14,38.65,1225.14,9.0,Yes,No,Yes,Unsolved,Too many ads,0
60,F,Town,Premium Membership,Yes,CID14887,Without Offers,Smartphone,Wi-Fi,16,182.16,43782.88,Error,No,Yes,Yes,Solved in Follow-up,User Friendly Website,0
19,F,Town,Premium Membership,Yes,CID60641,Without Offers,Smartphone,Fiber_Optic,20,31.98,14432.03,24.0,Yes,No,Yes,Solved,Poor Customer Service,0
32,M,Town,Gold Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,17,329.16,37811.56,27.0,No,Yes,Yes,Unsolved,Poor Website,0
36,F,Town,Premium Membership,Yes,CID43621,Gift Vouchers/Coupons,Both,Fiber_Optic,7,700.63,26571.36,13.0,Yes,Yes,No,Not Applicable,Products always in Stock,0
52,F,Town,Basic Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,3,166.57,45964.8,17.0,Yes,No,Yes,No Information Available,Too many ads,1
39,M,Town,No Membership,Yes,CID55829,Without Offers,Smartphone,Fiber_Optic,12,126.05,43632.02,16.0,Yes,No,No,Not Applicable,Poor Website,1
42,F,City,Silver Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11,428.35,26483.73,14.0,No,Yes,No,Not Applicable,No reason specified,0
17,F,Town,Gold Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,196.56,1246.57,22.0,Yes,No,Yes,Solved in Follow-up,No reason specified,0
33,F,City,Premium Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,22,32.47,25468.76,Error,No,Yes,No,Not Applicable,Poor Customer Service,0
33,F,City,Gold Membership,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,22,177.73,35286.1,Error,Yes,No,Yes,No Information Available,Poor Website,1
62,F,Town,Gold Membership,Yes,CID31521,Without Offers,Smartphone,Fiber_Optic,6,308.28,38497.78,21.0,Yes,No,Yes,Unsolved,Too many ads,0
56,M,Town,Basic Membership,Yes,CID53761,Without Offers,Desktop,Mobile_Data,5,732.71,47547.72,15.0,Yes,Yes,Yes,Unsolved,Poor Product Quality,1
18,F,Town,Gold Membership,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,21,32.82,46250.9,2.0,Yes,No,No,Not Applicable,User Friendly Website,0
23,M,City,Gold Membership,Yes,CID55727,Without Offers,Desktop,Fiber_Optic,15,547.87,36383.39,4.0,No,Yes,Yes,Solved,Products always in Stock,0
17,M,City,Platinum Membership,Yes,CID17316,Credit/Debit Card Offers,Desktop,Mobile_Data,14,80.4,15214.2,16.0,Yes,No,No,Not Applicable,No reason specified,0
16,F,Town,Premium Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,7,34.49,31418.7,Error,Yes,No,Yes,Unsolved,Poor Product Quality,0
38,M,Town,Basic Membership,Yes,xxxxxxxx,Without Offers,Desktop,Mobile_Data,17,117.11,29114.92,Error,No,Yes,Yes,No Information Available,Too many ads,1
64,M,Village,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,10,445.01,37220.97,Error,No,Yes,Yes,Solved,Poor Website,1
59,M,Town,No Membership,Yes,CID29969,Credit/Debit Card Offers,Smartphone,Mobile_Data,10,628.79,40093.14,55.016168569095036,No,Yes,No,Not Applicable,Poor Customer Service,1
23,M,City,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,11,31.45,18606.73,24.0,No,Yes,No,Not Applicable,Poor Product Quality,1
32,F,Town,Silver Membership,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,24,38.88,41019.89,19.0,No,Yes,Yes,Solved,Quality Customer Care,0
12,M,Town,No Membership,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,8,322.3,14310.09,11.0,Yes,No,No,Not Applicable,Poor Product Quality,1
55,F,City,Gold Membership,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,12,291.94,97643.81,5.0,Yes,Yes,No,Not Applicable,User Friendly Website,0
24,F,Town,Platinum Membership,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,12,31.86,21842.03,19.0,No,Yes,No,Not Applicable,Too many ads,0
63,F,Village,Premium Membership,Yes,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,15,1090.92,12483.66,2.0,Yes,Yes,Yes,Solved in Follow-up,Quality Customer Care,0
62,M,Town,Gold Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13,402.05,20411.69,15.0,Yes,No,No,Not Applicable,Products always in Stock,0
48,F,Village,Platinum Membership,Yes,CID54885,Gift Vouchers/Coupons,Desktop,Mobile_Data,2,33.18,24394.24,16.0,No,Yes,Yes,No Information Available,Poor Product Quality,0
54,F,Town,Gold Membership,Yes,CID17485,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,2,67.48,47619.23,10.0,No,Yes,No,Not Applicable,Quality Customer Care,0
12,M,Town,Silver Membership,Yes,CID17794,Credit/Debit Card Offers,Smartphone,Wi-Fi,2,226.47,27477.44,16.0,Yes,No,No,Not Applicable,Poor Customer Service,0
23,M,Town,Premium Membership,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,16,125.89,77291.02,1.0,Yes,No,Yes,Solved,Reasonable Price,0
62,F,Village,No Membership,Yes,CID39249,Credit/Debit Card Offers,Smartphone,Mobile_Data,17,112.9,20038.77,12.0,No,Yes,No,Not Applicable,Poor Product Quality,1
38,M,Town,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,17,174.48,40594.31,Error,No,Yes,Yes,Solved in Follow-up,No reason specified,1
28,M,City,Platinum Membership,Yes,CID50972,Without Offers,Smartphone,Wi-Fi,16,43.58,23397.98,8.0,Yes,No,No,Not Applicable,Poor Customer Service,0
39,F,City,Silver Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,9,32.91,11023.03,Error,No,Yes,No,Not Applicable,Too many ads,0
61,F,Town,No Membership,Yes,CID35547,Gift Vouchers/Coupons,Desktop,Wi-Fi,20,100.33,34614.42,15.0,No,Yes,Yes,Solved in Follow-up,No reason specified,1
37,M,Town,Silver Membership,Yes,CID44775,Without Offers,Smartphone,Wi-Fi,7,43.78,17353.48,21.0,Yes,No,No,Not Applicable,Poor Customer Service,1
20,F,Town,Gold Membership,Yes,CID30127,Credit/Debit Card Offers,Desktop,Wi-Fi,14,233.72,15596.42,14.0,Yes,No,No,Not Applicable,Poor Website,0
27,F,Village,No Membership,Yes,CID63189,Credit/Debit Card Offers,Desktop,Mobile_Data,15,304.09,32189.63,7.0,No,Yes,Yes,No Information Available,Too many ads,1
55,F,City,No Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,12,488.0,20417.72,10.0,No,Yes,No,Not Applicable,Poor Website,1
21,F,City,No Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13,39.62,46139.37,16.0,Yes,No,No,Not Applicable,Poor Customer Service,1
12,M,Town,No Membership,Yes,CID28912,Gift Vouchers/Coupons,Desktop,Wi-Fi,17,110.59,12478.19,21.0,No,Yes,Yes,Solved,Poor Customer Service,1
58,F,Town,Gold Membership,Yes,xxxxxxxx,Without Offers,Both,Fiber_Optic,6,1600.12,15610.96,13.0,No,Yes,Yes,Solved in Follow-up,Poor Website,0
23,F,Town,Basic Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,9,54.12,24610.29,10.0,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
16,M,City,Gold Membership,Yes,CID24314,Without Offers,Desktop,Fiber_Optic,26,936.34,30998.94,29.0,Yes,Yes,Yes,Unsolved,No reason specified,0
17,M,Town,Silver Membership,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,6,352.25,31444.17,10.0,Yes,Yes,Yes,Solved,Too many ads,1
11,M,City,Premium Membership,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,18,128.93,66961.7,19.0,No,Yes,No,Not Applicable,Quality Customer Care,0
44,M,City,Gold Membership,Yes,CID17367,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20,38.56,16717.72,28.0,Yes,No,Yes,Solved in Follow-up,Poor Website,0
16,F,Town,Gold Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,7,220.07,45054.8,12.0,Yes,Yes,No,Not Applicable,Too many ads,1
17,F,Town,Silver Membership,Yes,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,9,1053.12,15799.78,28.0,Yes,Yes,Yes,Solved,Poor Product Quality,0
35,M,City,Gold Membership,Yes,CID31628,Gift Vouchers/Coupons,Both,Mobile_Data,11,263.58,34046.4,9.0,Yes,No,No,Not Applicable,Poor Customer Service,1
62,F,Town,Basic Membership,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,20,103.42,36445.77,Error,Yes,No,No,Not Applicable,Poor Product Quality,1
21,M,Town,Platinum Membership,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,9,164.87,49628.7,15.0,Yes,No,No,Not Applicable,Too many ads,0
38,M,Village,No Membership,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,11,376.93,31089.9,25.0,Yes,No,Yes,Solved,No reason specified,1
12,F,City,No Membership,Yes,CID41164,Without Offers,Both,Fiber_Optic,13,619.2,44015.54,9.0,Yes,Yes,No,Not Applicable,Poor Product Quality,1
34,F,Town,Silver Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,5,165.92,46167.97,23.0,No,Yes,No,Not Applicable,No reason specified,1
15,M,Town,Silver Membership,Yes,CID30063,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14,766.04,44858.07,18.0,Yes,Yes,No,Not Applicable,Poor Customer Service,1
55,M,Town,Premium Membership,Yes,CID4140,Without Offers,Smartphone,Mobile_Data,7,792.59,44496.31,19.0,Yes,No,No,Not Applicable,Too many ads,0
59,F,Town,Premium Membership,Yes,CID19181,Gift Vouchers/Coupons,Desktop,Wi-Fi,12,629.37,23602.1,11.0,Yes,Yes,No,Not Applicable,Poor Website,0
50,M,Town,No Membership,Yes,CID63864,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,22,56.28,6124.94,15.0,No,Yes,No,Not Applicable,Poor Website,1
48,F,City,Basic Membership,Yes,CID12788,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,200.46,40236.57,21.0,Yes,No,No,Not Applicable,No reason specified,1
23,F,City,No Membership,Yes,CID31932,Without Offers,Smartphone,Mobile_Data,16,1262.444588953495,12163.94,11.0,Yes,No,No,Not Applicable,Poor Customer Service,1
33,M,City,Platinum Membership,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,20,260.92,70639.99,-5.339638902288634,No,Yes,No,Not Applicable,User Friendly Website,0
49,M,Town,No Membership,Yes,CID21962,Without Offers,Smartphone,Wi-Fi,15,30.58,38036.67,29.0,Yes,No,Yes,Solved,Too many ads,1
56,F,Village,No Membership,Yes,CID33512,Without Offers,Smartphone,Fiber_Optic,11,177.42,6280.96,20.0,Yes,No,Yes,No Information Available,No reason specified,1
32,F,City,No Membership,Yes,CID43979,Gift Vouchers/Coupons,Desktop,Wi-Fi,15,33.77,32673.05,21.0,No,Yes,No,Not Applicable,No reason specified,1
52,M,Village,Gold Membership,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,15,33.5,50085.74,4.0,No,Yes,No,Not Applicable,Reasonable Price,0
