age,gender,region_category,membership_category,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn
35,0,2,1,0,6286,0,2,0,20,148.24,30984.56,347,729.04,1,0,0,1,1,0
43,1,1,4,1,6286,2,0,2,16,773.83,9091.94,372,700.4,0,1,0,1,2,0
35,1,1,4,0,6286,1,2,1,12,34.48,48679.07,794,779.59,1,0,0,1,2,0
35,1,1,2,1,1457,2,2,1,4,157.03,22975.33,357,548.1,0,1,0,1,3,1
55,0,1,4,0,6286,0,2,1,18,42.77,8996.95,802,749.56,1,0,1,4,3,0
39,1,0,2,0,6286,1,1,1,13,98.57,2645.63,376,674.42,0,1,0,1,2,1
57,1,1,2,0,6286,2,1,0,13,119.1,44341.82,802,563.92,1,0,1,0,1,1
50,1,1,1,1,5526,0,1,2,19,65.39,17054.69,374,353.3690014856328,0,1,1,2,0,0
53,0,0,4,0,6286,1,1,2,18,172.99,9044.15,800,763.14,1,0,1,3,4,0
62,0,0,2,0,6286,2,0,0,5,304.52,47658.52,403,699.19,0,1,1,2,7,1
30,1,0,5,0,6286,0,2,0,12,191.41,25575.44,802,648.68,0,1,1,3,1,1
25,0,2,1,1,3992,2,2,1,11,31.88,35414.54,372,788.67,0,1,0,1,0,0
24,0,1,4,1,3333,2,1,0,5,181.34,43554.96,336,728.69,1,0,1,3,4,0
56,1,2,0,1,154,0,1,2,24,48.59,28071.04,354,533.05,0,1,1,2,3,1
23,0,1,1,1,2351,2,1,2,21,727.69,4919.72,350,758.83,1,1,0,1,7,0
42,0,0,2,0,6286,1,0,0,3,419.51,14661.42,802,404.4897583720529,0,1,1,3,0,1
18,1,1,0,0,6286,0,1,1,11,293.42,2521.3,802,964.8409708374116,1,0,1,0,1,1
23,1,0,1,1,3726,0,1,2,10,934.354219849904,11955.94,377,630.8,0,1,1,4,1,1
52,0,0,0,1,5491,0,2,1,4,826.51,14877.24,380,522.61,1,0,0,1,1,1
49,0,1,4,1,6286,1,1,1,21,115.41,41156.81,387,741.02,0,1,0,1,1,0
31,0,1,0,0,6286,1,1,1,14,148.95,2364.45,802,634.51,0,1,0,1,7,1
27,1,0,5,0,6286,0,2,1,21,357.45,29825.45,801,665.63,0,1,1,2,3,1
56,1,0,1,0,6286,2,1,0,21,1386.2328573111793,9454.17,358,778.27,1,0,0,1,7,0
31,0,1,5,0,6286,0,0,2,10,428.05,6325.08,391,80.09369312905504,0,1,0,1,2,1
29,1,1,4,0,6286,1,1,2,14,42.48,16098.94,374,766.85,1,0,1,2,3,0
31,0,0,5,1,3553,2,2,2,24,33.91,23226.43,799,762.48,0,1,1,2,1,0
11,0,1,0,0,6286,1,1,1,8,1060.5279791549135,10990.31,354,271.71438129394863,1,0,0,1,2,1
26,1,0,5,1,6286,1,2,1,7,187.91,17002.23,347,700.11,0,1,0,1,7,0
42,1,0,3,1,2819,0,2,2,10,1195.7326664672294,31504.62,346,1207.2537286760455,1,0,0,1,1,0
46,1,2,2,1,2339,0,2,0,21,287.39,44809.68,387,629.6,0,1,0,1,2,1
35,1,0,1,0,6286,2,0,0,17,219.13,70247.76,410,1293.1693808393377,1,1,0,1,8,0
57,1,1,2,1,2539,0,2,2,8,400.35,30248.45,801,660.25,0,1,1,4,1,1
64,1,1,2,0,6286,0,1,2,20,49.24,39981.97,349,648.6,1,0,1,2,7,1
21,1,1,0,1,4096,0,2,1,16,590.85,21919.13,351,610.24,1,0,1,2,2,1
53,0,1,1,0,6286,0,2,2,22,1142.148835374673,34918.7,794,699.08,1,0,1,3,3,1
26,1,2,2,1,2938,0,1,1,16,138.33,8025.77,403,1016.7857130097486,1,0,0,1,1,1
61,1,1,1,1,1387,0,2,1,7,516.46,45544.33,403,780.96,0,1,1,4,7,0
30,1,1,2,0,6286,2,1,0,19,211.19,2554.48,346,622.45,1,1,1,2,3,1
35,0,0,1,0,6286,2,2,0,10,267.45,32922.76,800,701.45,0,1,0,1,0,1
53,1,0,1,0,6286,0,1,1,19,213.34,8860.9,794,671.74,1,0,1,2,3,1
23,1,0,0,1,5409,0,2,2,13,1044.243493684985,26060.01,375,684.88,1,0,1,2,3,1
37,1,2,5,1,5678,1,2,0,11,172.07,23587.32,391,326.1310708697294,1,0,0,1,3,1
59,0,0,0,0,6286,2,0,2,8,400.21,33996.1,554,697.6,1,1,0,1,2,1
50,0,1,1,1,2637,0,2,0,13,103.36,39610.89,346,653.12,1,0,1,2,1,1
29,0,2,4,1,6286,1,2,2,19,222.69,18297.21,360,774.47,0,1,1,0,4,0
39,0,0,5,0,6286,1,2,2,16,283.85,3888.65,357,959.9204100132208,1,0,0,1,4,0
37,0,1,1,0,6286,1,2,2,5,32.29,63097.55,77,780.09,0,1,0,1,8,0
21,1,1,5,0,6286,1,1,2,12,145.45,48500.63,347,727.97,0,1,1,2,1,0
64,0,1,0,0,6286,0,2,0,10,313.84,23211.35,353,573.16,1,0,0,1,2,1
37,0,1,0,0,6286,1,1,0,9,206.56,13037.39,350,616.68,1,0,1,3,7,1
55,1,1,0,0,6286,1,2,2,21,51.75,27564.76,377,660.59,0,1,0,1,7,1
18,1,0,0,1,598,2,2,0,10,117.9,49537.82,799,528.08,1,0,1,2,2,1
48,0,0,0,1,2971,0,1,1,15,77.18,49448.05,729,605.23,0,1,1,0,2,1
54,1,1,0,0,6286,0,1,2,8,60.77,45095.33,339,692.59,1,0,0,1,2,1
52,0,2,1,0,6286,2,2,1,15,197.85,42084.72,357,710.7,0,1,0,1,1,0
33,0,1,3,1,1698,2,0,1,11,502.4,4714.82,377,472.8025703520018,1,0,0,1,3,0
35,1,1,2,1,2416,0,2,0,6,33.96,6175.77,375,545.14,1,0,0,1,2,1
39,0,0,1,0,6286,1,1,0,9,34.93,42965.53,403,630.68,0,1,1,2,2,1
29,1,0,4,1,3064,1,1,2,11,317.25,17951.87,355,753.97,0,1,0,1,1,0
14,0,0,2,0,6286,1,1,0,10,33.34,46392.24,377,582.93,1,0,0,1,1,1
13,0,2,4,0,6286,1,2,0,5,84.05,10423.83,403,1044.8153799682143,0,1,1,0,0,0
56,0,1,2,1,213,2,1,2,19,69.22,14117.54,349,523.54,0,1,1,3,3,1
64,0,0,5,0,6286,1,1,1,14,32.16,67458.29,92,764.62,1,0,1,3,8,0
47,1,1,2,1,2035,1,0,2,20,692.73,18404.11,358,1072.7451280522948,1,0,1,0,3,1
45,1,1,4,1,6079,0,2,1,14,38.65,1225.14,801,700.07,1,0,1,4,7,0
60,0,1,4,1,515,2,2,2,16,182.16,43782.88,802,761.49,0,1,1,3,8,0
19,0,1,4,1,5534,2,2,0,20,31.98,14432.03,377,730.04,1,0,1,2,1,0
32,1,1,1,0,6286,0,2,1,17,329.16,37811.56,387,757.14,0,1,1,4,3,0
36,0,1,4,1,3672,1,0,0,7,700.63,26571.36,350,738.84,1,1,0,1,4,0
52,0,1,0,0,6286,1,2,2,3,166.57,45964.8,355,630.0,1,0,1,0,7,1
39,1,1,2,1,4998,2,2,0,12,126.05,43632.02,354,594.51,1,0,0,1,3,1
42,0,0,5,0,6286,1,1,0,11,428.35,26483.73,351,713.42,0,1,0,1,0,0
17,0,1,1,0,6286,0,1,0,15,196.56,1246.57,375,766.76,1,0,1,3,0,0
33,0,0,4,0,6286,0,1,1,22,32.47,25468.76,802,298.8686939801553,0,1,0,1,1,0
33,0,0,1,0,6286,2,2,0,22,177.73,35286.1,802,709.01,1,0,1,0,3,1
62,0,1,1,1,2286,2,2,0,6,308.28,38497.78,374,792.37,1,0,1,4,7,0
56,1,1,0,1,4779,2,1,1,5,732.71,47547.72,353,936.3622800699138,1,1,1,4,2,1
18,0,1,1,0,6286,2,1,2,21,32.82,46250.9,360,779.89,1,0,0,1,8,0
23,1,0,1,1,4992,2,1,0,15,547.87,36383.39,582,763.15,0,1,1,2,4,0
17,1,0,3,1,796,0,1,1,14,80.4,15214.2,354,761.95,1,0,0,1,0,0
16,0,1,4,0,6286,1,1,0,7,34.49,31418.7,802,770.66,1,0,1,4,2,0
38,1,1,0,1,6286,2,1,1,17,117.11,29114.92,802,521.7,0,1,1,0,7,1
64,1,2,2,0,6286,1,0,1,10,445.01,37220.97,802,550.13,0,1,1,2,3,1
59,1,1,2,1,2138,0,2,1,10,628.79,40093.14,789,622.06,0,1,0,1,1,1
23,1,0,2,0,6286,1,1,0,11,31.45,18606.73,377,621.94,0,1,0,1,2,1
32,0,1,5,0,6286,2,2,2,24,38.88,41019.89,358,750.83,0,1,1,2,5,0
12,1,1,2,0,6286,2,1,2,8,322.3,14310.09,347,559.2451349253587,1,0,0,1,2,1
55,0,0,1,0,6286,2,2,0,12,291.94,97643.81,729,713.99,1,1,0,1,8,0
24,0,1,3,0,6286,2,2,1,12,31.86,21842.03,358,743.44,0,1,0,1,7,0
63,0,2,4,1,6286,0,2,1,15,1090.92,12483.66,360,705.75,1,1,1,3,5,0
62,1,1,1,0,6286,1,2,1,13,402.05,20411.69,353,517.3513913379674,1,0,0,1,4,0
48,0,2,3,1,4904,1,1,1,2,33.18,24394.24,354,1042.0870641604756,0,1,1,0,2,0
54,0,1,1,1,812,1,2,0,2,67.48,47619.23,346,754.69,0,1,0,1,5,0
12,1,1,5,1,843,0,2,2,2,226.47,27477.44,354,748.61,1,0,0,1,1,0
23,1,1,4,0,6286,2,1,2,16,125.89,77291.02,336,1085.7706011868645,1,0,1,2,6,0
62,0,2,2,1,3168,0,2,1,17,112.9,20038.77,349,274.3235842251838,0,1,0,1,2,1
38,1,1,2,0,6286,1,1,1,17,174.48,40594.31,802,615.71,0,1,1,3,0,1
28,1,0,3,1,4481,2,2,2,16,43.58,23397.98,800,759.48,1,0,0,1,1,0
39,0,0,5,0,6286,0,1,0,9,32.91,11023.03,802,208.90394517916,0,1,0,1,7,0
61,0,1,2,1,2737,1,1,2,20,100.33,34614.42,353,642.93,0,1,1,3,0,1
37,1,1,5,1,3812,2,2,2,7,43.78,17353.48,374,282.36387933775825,1,0,0,1,1,1
20,0,1,1,1,2157,0,1,2,14,233.72,15596.42,351,780.92,1,0,0,1,3,0
27,0,2,2,1,5800,0,1,1,15,304.09,32189.63,799,549.41,0,1,1,0,7,1
55,0,0,2,0,6286,0,1,2,12,488.0,20417.72,346,656.21,0,1,0,1,3,1
21,0,0,2,0,6286,1,2,1,13,39.62,46139.37,354,673.05,1,0,0,1,1,1
12,1,1,2,1,2024,1,1,2,17,110.59,12478.19,374,671.23,0,1,1,2,1,1
58,0,1,1,1,6286,2,0,0,6,1600.12,15610.96,350,725.74,0,1,1,3,3,0
23,0,1,0,0,6286,0,2,2,9,54.12,24610.29,346,653.38,0,1,1,3,1,1
16,1,0,1,1,1558,2,1,0,26,936.34,30998.94,403,778.24,1,1,1,4,0,0
17,1,1,5,0,6286,2,2,1,6,352.25,31444.17,346,668.44,1,1,1,2,7,1
11,1,0,4,0,6286,2,2,0,18,128.93,66961.7,358,765.97,0,1,0,1,5,0
44,1,0,1,1,799,0,2,0,20,38.56,16717.72,391,550.1900865886548,1,0,1,3,3,0
16,0,1,1,0,6286,0,1,0,7,220.07,45054.8,349,623.93,1,1,0,1,7,1
17,0,1,5,1,6286,0,1,1,9,1053.12,15799.78,391,945.4319714217356,1,1,1,2,2,0
35,1,0,1,1,2303,1,0,1,11,263.58,34046.4,801,649.88,1,0,0,1,1,1
62,0,1,0,0,6286,0,1,1,20,103.42,36445.77,802,663.11,1,0,0,1,2,1
21,1,1,3,0,6286,0,2,1,9,164.87,49628.7,353,188.1924468650877,1,0,0,1,7,0
38,1,2,2,0,6286,2,1,1,11,376.93,31089.9,380,1071.824762921459,1,0,1,2,0,1
12,0,0,2,1,3394,2,0,0,13,619.2,44015.54,801,826.4263584408252,1,1,0,1,2,1
34,0,1,5,0,6286,1,1,1,5,165.92,46167.97,376,661.83,0,1,0,1,0,1
15,1,1,5,1,2148,1,2,1,14,766.04,44858.07,357,689.99,1,1,0,1,1,1
55,1,1,4,1,3415,2,2,1,7,792.59,44496.31,358,741.71,1,0,0,1,7,0
59,0,1,4,1,990,1,1,2,12,629.37,23602.1,347,742.41,1,1,0,1,3,0
50,1,1,2,1,5879,1,2,0,22,56.28,6124.94,353,561.78,0,1,0,1,3,1
48,0,0,0,1,307,0,2,1,20,200.46,40236.57,374,647.61,1,0,0,1,0,1
23,0,0,2,1,2337,2,2,1,16,1262.444588953495,12163.94,347,677.29,1,0,0,1,1,1
33,1,0,3,0,6286,1,2,1,20,260.92,70639.99,250,760.54,0,1,0,1,8,0
49,1,1,2,1,1285,2,2,2,15,30.58,38036.67,403,636.43,1,0,1,2,7,1
56,0,2,2,1,2513,2,2,0,11,177.42,6280.96,372,578.69,1,0,1,0,0,1
32,0,0,2,1,3711,1,1,2,15,33.77,32673.05,374,529.02,0,1,0,1,0,1
52,1,2,1,0,6286,2,1,2,15,33.5,50085.74,582,1242.2009985123775,0,1,0,1,6,0
16,1,1,2,1,5525,0,2,2,8,62.53,23123.43,375,524.34,1,0,0,1,7,1
48,0,2,0,1,23,0,2,1,15,583.96,38477.8,350,608.37,1,0,0,1,0,1
61,1,0,3,0,6286,1,2,1,9,315.37,28202.86,358,778.62,1,0,0,1,3,0
33,0,1,0,1,4925,2,2,2,14,146.24,2203.18,353,301.5444843542952,0,1,1,3,0,1
22,1,0,2,1,3983,1,1,2,20,103.51,21574.0,729,414.2461508169796,0,1,1,3,2,1
12,1,0,2,1,456,0,1,1,14,86.25,31792.97,801,1098.6008511296418,0,1,1,0,7,1
12,1,1,2,0,6286,0,1,0,8,122.17,12440.72,729,677.35,0,1,1,0,3,1
45,0,1,2,1,4797,2,2,2,6,1482.53,13626.01,376,555.38,1,1,0,1,0,1
14,0,1,2,1,4673,2,1,2,1,385.72,18512.96,802,557.61,1,1,1,2,0,1
13,1,0,5,0,6286,1,1,2,4,150.97,85750.12,794,785.69,1,0,0,1,5,0
47,0,1,4,0,6286,2,2,1,2,163.43,5843.93,729,754.32,0,1,1,0,7,0
34,1,1,2,0,6286,0,2,1,16,296.05,9945.0,802,638.91,0,1,0,1,7,1
44,1,1,4,0,6286,2,2,0,21,34.97,14545.9,800,360.58246425943986,1,0,1,4,3,0
17,1,2,5,0,6286,0,1,2,3,349.92,25966.98,801,659.95,1,0,0,1,1,1
16,0,0,5,1,6286,2,2,1,13,47.22,15403.3,358,672.15,0,1,0,1,3,1
52,0,0,0,1,1271,0,2,2,9,502.02,28024.35,800,1161.0576608386689,0,1,1,2,2,1
18,0,1,2,1,2255,2,2,1,17,200.63,21330.47,375,661.3,0,1,0,1,0,1
59,1,1,4,0,6286,1,1,0,14,1431.6465460561053,56989.08,799,727.58,1,0,1,4,8,0
18,1,1,1,0,6286,2,1,0,21,260.08,15097.46,347,773.63,1,0,0,1,2,0
49,1,0,2,0,6286,1,2,1,9,76.11,28870.14,391,683.65,1,0,1,0,2,1
41,0,1,3,0,6286,1,2,1,10,1110.1895313975767,49615.92,377,786.64,1,0,1,2,1,0
25,0,1,2,0,6286,2,2,1,8,305.27,28019.96,799,608.54,1,0,0,1,2,1
36,0,0,1,1,6286,2,2,0,24,563.3,38221.0,346,1296.6694808427894,0,1,1,2,1,0
16,0,2,2,0,6286,0,0,0,7,237.14,5061.41,346,989.973193087582,1,1,0,1,3,1
30,1,1,5,1,2674,1,2,2,2,58.85,46895.72,354,792.09,0,1,1,4,7,0
49,1,0,2,1,2067,0,2,0,13,150.91,17129.53,353,639.82,0,1,1,0,2,1
23,0,0,2,0,6286,2,2,0,4,215.75,33862.45,802,206.02762902057088,0,1,1,3,7,1
29,1,0,0,0,6286,2,1,2,19,43.5,14431.86,387,686.86,1,0,0,1,1,1
46,1,1,1,0,6286,2,2,1,20,393.41,15462.29,800,747.11,0,1,1,0,0,0
60,0,0,5,0,6286,1,2,0,5,95.02,11757.89,794,750.89,1,0,0,1,7,0
61,0,0,4,1,671,1,1,2,25,50.63,97688.49,355,292.5686806719382,1,0,1,2,6,0
56,0,1,1,1,5860,1,1,2,12,34.08,34687.38,353,717.96,0,1,0,1,6,0
41,1,0,0,0,6286,2,2,1,16,34.82,33188.16,387,367.6930211379532,0,1,1,3,1,1
59,1,1,4,0,6286,0,0,0,16,1336.2697002262353,36326.75,802,788.99,0,1,0,1,3,0
29,0,1,4,0,6286,0,2,0,6,201.06,8436.67,794,1071.2433224905444,1,0,1,2,4,0
28,1,0,5,1,5669,1,0,0,16,348.67,38427.15,403,700.81,1,0,1,4,3,0
56,0,1,0,0,6286,0,1,2,14,42.78,43391.4,391,436.08833380250815,1,0,1,3,1,1
43,0,1,1,0,6286,0,1,1,21,33.37,36894.82,357,701.81,0,1,0,1,1,0
60,0,1,2,1,4364,0,1,1,16,101.56,5132.55,354,621.96,0,1,1,4,2,1
35,0,0,2,0,6286,2,2,0,9,37.59,28432.23,403,631.14,0,1,1,4,2,1
54,0,0,0,0,6286,0,2,0,4,80.78,19793.69,357,676.01,0,1,0,1,7,1
36,0,1,0,1,5867,1,2,2,16,119.69,48054.16,372,606.57,0,1,1,3,0,1
55,1,1,5,0,6286,0,1,1,15,156.18,14801.69,349,645.38,0,1,1,3,1,1
24,0,2,1,1,6286,2,1,2,19,58.11,7232.66,800,673.32,0,1,0,1,2,1
35,1,1,2,1,1524,0,2,2,10,495.46,26812.57,355,538.4,1,1,1,2,3,1
23,0,1,5,0,6286,1,2,2,17,378.32,6289.63,403,717.0,0,1,0,1,7,1
30,1,0,4,1,838,0,2,1,17,512.86,84959.24,358,759.74,0,1,0,1,6,0
29,1,0,2,1,6286,1,0,1,12,523.17,48510.75,349,1203.693300125935,1,0,0,1,2,1
54,0,2,2,0,6286,1,1,2,23,388.92,46687.09,372,951.689316278626,0,1,1,0,2,1
57,0,0,3,0,6286,2,1,2,12,400.2,32446.0,346,839.0,1,0,0,1,8,0
56,0,2,3,0,6286,1,2,1,20,34.14,26613.52,380,708.39,0,1,1,4,7,0
36,1,0,0,0,6286,2,1,2,15,186.4,26284.13,355,656.21,1,0,0,1,3,1
26,0,0,2,1,362,2,1,1,12,652.19,26519.82,354,1466.436480074614,1,1,0,1,0,1
16,1,0,0,1,5044,2,2,1,11,130.05,17513.69,403,535.24,0,1,1,4,7,1
23,1,1,5,0,6286,0,1,0,13,32.83,49711.44,382,485.020957757146,0,1,0,1,7,0
25,0,0,3,1,29,0,1,0,12,529.07,6325.37,376,744.6,1,0,1,4,2,0
16,1,2,0,0,6286,1,2,0,7,47.18,2242.41,351,667.44,0,1,0,1,1,1
22,0,0,1,1,2568,1,2,0,3,2732.7,79718.85,729,824.45,1,1,1,3,8,0
19,0,0,5,1,2543,1,1,1,14,213.38,14581.71,357,713.31,1,1,0,1,1,0
52,1,1,3,1,1433,1,2,2,21,30.48,1911.99,375,745.75,1,0,1,0,7,0
39,0,1,0,0,6286,0,2,1,21,186.03,2353.19,375,675.41,1,0,0,1,0,1
20,0,2,3,0,6286,1,0,1,20,257.51,26394.03,347,792.01,0,1,0,1,6,0
16,1,0,4,0,6286,0,2,2,7,280.15,61874.77,582,774.36,0,1,1,3,5,0
17,0,1,2,1,3294,0,2,2,20,69.38,1062.77,377,699.24,1,0,1,2,7,1
37,0,1,0,1,79,2,2,2,13,66.03,46020.2,403,529.86,0,1,0,1,3,1
36,1,0,0,1,811,1,1,0,23,125.03,10994.22,372,1147.9876333203838,1,0,0,1,0,1
59,0,2,1,0,6286,0,1,2,21,228.5,9071.32,800,703.79,1,0,0,1,3,0
17,1,0,5,1,1710,2,0,2,4,406.37,14837.87,358,742.51,0,1,0,1,3,0
15,1,1,5,0,6286,1,1,1,7,36.13,21281.1,802,719.2,0,1,1,4,0,0
48,1,2,1,0,6286,1,2,1,14,160.61,90796.23,410,823.46,0,1,1,4,6,0
47,1,1,5,1,347,0,1,0,14,247.55,40684.25,372,701.81,1,1,0,1,7,0
51,1,0,3,0,6286,2,1,2,18,55.0,8502.47,375,786.6,0,1,0,1,2,0
27,1,0,3,0,6286,0,2,1,10,308.34,96015.22,582,815.96,1,0,0,1,6,0
17,1,1,0,1,1916,1,0,2,8,1512.6,15911.62,354,586.72,1,0,0,1,2,1
61,1,2,0,1,1796,0,2,1,12,167.05,29100.92,403,517.38,0,1,1,2,0,1
64,0,0,0,1,3627,2,1,2,15,31.1,44214.34,387,672.58,1,0,1,0,3,1
40,1,1,5,0,6286,0,0,1,23,413.94,42743.27,372,655.95,1,0,0,1,3,1
57,0,0,1,1,1473,0,1,1,20,640.52,6027.42,350,1066.0596236742886,0,1,0,1,3,0
28,1,0,1,0,6286,0,0,0,12,202.8,20086.44,799,798.92,1,1,1,0,0,0
60,1,1,0,0,6286,2,2,2,12,337.48,27396.98,382,614.08,0,1,1,3,0,1
51,0,1,2,0,6286,2,1,1,10,299.48,38854.23,391,668.5,0,1,1,3,7,1
39,1,2,4,1,1847,1,2,1,18,110.72,4032.05,346,720.15,0,1,0,1,2,0
23,1,0,2,0,6286,0,1,2,17,371.65,44996.93,387,507.98,0,1,0,1,1,1
49,1,0,1,0,6286,1,2,0,15,153.01,59242.98,357,790.36,1,0,0,1,8,0
64,0,2,0,0,6286,2,1,0,22,223.8,35421.5,801,606.53,1,1,0,1,7,1
51,0,1,5,1,5842,1,2,2,15,92.58,47671.91,799,795.49,1,0,1,2,6,0
25,0,0,3,1,2395,2,1,0,7,170.95,41491.97,347,717.98,1,0,0,1,1,0
17,0,2,5,1,106,1,1,0,3,64.75,7475.03,336,753.16,0,1,0,1,8,0
47,1,1,1,1,6286,1,2,1,3,152.42,43006.26,346,753.07,0,1,1,3,1,0
41,1,0,5,0,6286,1,1,1,9,90.52,4542.69,347,309.49341247048505,1,0,0,1,7,0
39,1,2,0,1,6286,2,2,1,17,72.68,13514.25,387,709.97,1,0,1,3,0,1
55,0,1,4,1,3471,1,2,0,20,168.75,80304.79,355,797.72,0,1,0,1,5,0
57,0,0,5,0,6286,1,2,0,17,68.53,31609.24,802,785.98,0,1,1,2,8,0
13,1,0,0,1,5356,0,1,2,20,1009.6577851693836,8403.62,391,1048.8539466311267,0,1,0,1,7,1
10,0,2,0,1,4370,2,2,0,10,111.62,37182.03,350,663.5,0,1,0,1,3,1
15,1,1,0,1,431,0,1,2,14,147.74,27224.5,353,710.45,0,1,0,1,7,1
54,1,0,1,1,2623,2,1,1,13,33.05,2943.43,377,678.77,0,1,0,1,7,1
39,0,1,2,0,6286,2,2,1,1,77.77,30852.93,349,633.24,1,0,0,1,1,1
13,1,1,2,0,6286,1,2,2,24,256.86,8522.0,355,669.02,1,0,1,2,1,1
42,0,1,1,0,6286,0,2,2,26,1002.2850615217094,3883.99,376,382.3570052178368,0,1,1,0,0,0
41,0,1,4,0,6286,0,2,1,8,474.34,64594.43,347,734.29,0,1,0,1,6,0
59,0,0,5,1,2437,2,1,2,19,124.47,17185.18,351,663.66,1,0,1,3,2,1
52,0,0,2,0,6286,0,2,1,15,181.36,16715.28,346,567.61,1,0,1,4,3,1
43,0,1,2,1,3150,2,1,1,11,80.77,49062.27,374,660.05,0,1,1,4,3,1
29,1,1,1,0,6286,2,1,1,14,76.64,48367.6,729,690.27,1,0,1,3,3,1
44,1,0,2,1,6286,1,0,1,23,456.32,40778.12,802,584.2,1,1,1,2,3,1
32,0,0,2,1,3379,1,0,0,13,372.1,8269.63,347,639.42,1,0,0,1,3,1
40,1,0,4,1,3008,0,2,2,20,191.65,1100.15,346,712.31,0,1,1,4,3,0
46,1,0,0,1,728,1,0,1,15,1128.26,30416.93,387,583.23,0,1,0,1,7,1
53,0,1,2,0,6286,2,1,2,11,35.24,9818.28,347,696.37,1,0,0,1,0,1
26,1,1,3,0,6286,0,2,1,12,120.24,43873.15,582,781.77,0,1,1,3,8,0
52,0,0,5,1,3024,2,1,1,21,660.28,24842.66,347,977.9051227743552,0,1,0,1,7,1
35,0,0,3,1,6286,1,1,0,9,637.22,13130.72,349,796.47,0,1,0,1,7,0
19,0,1,1,0,6286,0,1,2,23,113.95,41780.74,350,930.0824984158384,0,1,0,1,2,1
38,1,1,5,1,2953,2,1,0,8,484.98,75202.37,350,742.55,1,0,1,2,8,0
53,0,1,5,0,6286,2,2,1,1,122.68,48377.84,360,706.25,0,1,1,3,4,0
32,1,0,2,0,6286,2,1,1,14,144.36,28729.58,800,630.69,1,0,1,0,7,1
59,0,0,2,1,1451,0,0,2,13,491.36,7884.31,377,569.23,1,1,0,1,1,1
41,0,1,1,1,3066,0,1,2,15,131.03,21743.59,377,714.79,1,0,1,4,2,0
11,1,2,0,1,1213,0,1,0,13,198.02,16177.14,353,602.74,1,0,1,3,0,1
55,0,1,4,0,6286,1,0,2,12,337.97,32544.46,372,414.30556148510215,1,1,1,0,1,0
10,1,0,1,1,4038,1,1,1,13,30.63,3068.03,391,641.19,1,0,1,3,1,1
44,1,0,1,0,6286,0,2,0,12,302.85,29277.36,351,655.81,1,0,1,0,7,1
15,0,1,1,1,1381,0,2,2,7,174.44,45995.05,377,751.25,1,0,0,1,0,0
61,1,0,1,0,6286,0,2,2,15,33.2,24172.99,800,701.41,1,0,0,1,2,0
